Iter,Kp,Ki,Kd,Kf,Overshoot,Undershoot,OscCount,SettlingTime,Status
0,0.09493046684786643,678.7939715845963,2.3605790803130725e-06,326946.9383187379,3.862670155702208,9.944988462818145,1,5.199999999927485e-06,FAIL
1,0.119688943781794,935.8012171570576,2.7305532991895845e-06,359792.84347444784,3.32555253017226,9.212772461010825,1,4.010562069051496e-06,FAIL
2,0.1477772537059545,1258.2061332067108,3.102450937631567e-06,393476.21206814033,3.770799636074287,8.546983729976052,1,5.514521138086977e-06,FAIL
3,0.17926085118196325,1654.9770608411106,3.4754576009135e-06,427840.03540685907,7.419630046585102,7.916201103110635,2,1.4715277437812955e-05,FAIL
4,0.169599011590279,1530.2024168818418,3.5279270152528825e-06,462726.654000884,6.115059427273621,7.885721984537479,2,1.2047003072552468e-05,FAIL
5,0.1605939816428765,1414.417926586956,3.5736485105734226e-06,500605.53602879535,4.807137041280143,7.862498428108378,2,8.698948776813317e-06,FAIL
6,0.1877623305715085,1768.7113258425536,3.909290092791048e-06,536370.9736747207,3.1708360711686723,7.364413276357773,1,4.357097841209065e-06,FAIL
7,0.21661926305835438,2172.65659793077,4.237546168469271e-06,571671.4084080034,1.198786971602832,6.904005482205022,1,0.0,FAIL
8,0.24680557338176679,2623.6780776417136,4.556008364181677e-06,606168.5728876496,1.2626524209511203,6.588159205690491,1,0.0,FAIL
9,0.27786983629485085,3116.373664122265,4.862037348061036e-06,639507.4836635148,1.1565297978188305,6.3208299522788804,1,0.0,FAIL
10,0.3092744085050786,3642.281647081401,5.152831903509706e-06,671324.7056387173,1.1349026698856335,6.078109020699838,1,0.0,FAIL
11,0.34040679314551875,4189.846388001786,5.425500773125268e-06,701256.2496468208,1.1186314647719797,5.85775264682816,1,0.0,FAIL
12,0.3705963857276724,4744.6254984432735,5.677136316013787e-06,728945.2257506481,1.1007249965649635,5.666960365758467,1,0.0,FAIL
13,0.3991362228179108,5289.762247841331,5.904888719155422e-06,754049.2479814076,1.0872336658084691,5.499655224842712,1,0.0,FAIL
14,0.4253089351968604,5806.721373530601,6.1060392674613635e-06,776247.5210687048,1.073660485328194,5.35574836365825,1,0.0,FAIL
15,0.4484157033813182,6276.256730236936,6.278071013587029e-06,795247.5082384268,1.0633933485793179,5.237967901504934,1,0.0,FAIL
16,0.4678066663979745,6679.548904754246,6.418735101029637e-06,810791.0670701264,1.056474249768673,5.144796787178301,1,0.0,FAIL
17,0.487997876693053,7108.268631286566,6.561859737864942e-06,826612.0284314784,1.0480504740906582,5.051655509189192,1,0.0,FAIL
18,0.5090227893674485,7564.018929249963,6.707498305265781e-06,842714.9040444897,1.0377274959800786,4.958579313877625,1,0.0,PASS
